Variable,Average or Total (A/T),Scale Factor,Original Units,Final Units,Group,Long name
FSAT,A,1.00000E+00, unitless, unitless,Physical State, fractional area with water table at surface
FSNO,A,1.00000E+00, proportion, proportion,Physical State, fraction of ground covered by snow
FSNO_EFF,A,1.00000E+00, proportion, proportion,Physical State, effective fraction of ground covered by snow
LAKEICETHICK,A,1.00000E+00, m, m,Physical State, thickness of lake ice (including physical expansion on freezing)
SNOINTABS,A,1.00000E+00, %, %,Physical State, percent of incoming solar absorbed by lower snow layers
SoilAlpha,A,1.00000E+00, unitless, unitless,Physical State, factor limiting ground evap
TKE1,A,1.00000E+00, W/(mK), W/(mK),Physical State, top lake level eddy thermal conductivity
ZBOT,A,1.00000E+00, m, m,Physical State, atmospheric reference height
ZWT,A,1.00000E+00, m, m,Physical State, water table depth (vegetated landunits only)
ZWT_CH4_UNSAT,A,1.00000E+00, m, m,Physical State, depth of water table for methane production used in non-inundated area
ZWT_PERCH,A,1.00000E+00, m, m,Physical State, perched water table depth (vegetated landunits only)
PBOT,A,1.00000E+00, Pa, Pa,Pressure, atmospheric pressure
PCH4,A,1.00000E+00, Pa, Pa,Pressure, atmospheric partial pressure of CH4
PCO2,A,1.00000E+00, Pa, Pa,Pressure, atmospheric partial pressure of CO2
BUILDHEAT,A,1.00000E+00, W/m^2, W/m^2,Urban, heat flux from urban building interior to walls and roof
EFLX_LH_TOT_U,A,1.00000E+00, W/m^2, W/m^2,Urban, urban total evaporation
FGR_U,A,1.00000E+00, W/m^2, W/m^2,Urban, urban heat flux into soil/snow including snow melt
FIRA_U,A,1.00000E+00, W/m^2, W/m^2,Urban, urban net longwave radiation
FIRE_U,A,1.00000E+00, W/m^2, W/m^2,Urban, urban emitted longwave radiation
FSA_U,A,1.00000E+00, W/m^2, W/m^2,Urban, urban absorbed solar radiation
FSH_U,A,1.00000E+00, W/m^2, W/m^2,Urban, urban sensible heat
FSM_U,A,1.00000E+00, W/m^2, W/m^2,Urban, urban snow melt heat flux
HEAT_FROM_AC,A,1.00000E+00, W/m^2, W/m^2,Urban, sensible heat flux from air conditioning
QRUNOFF_U,A,8.64000E+04, mm/s, mm/day,Urban, urban total runoff
RH2M_U,A,1.00000E+00, %, %,Urban, urban 2m relative humidity
SoilAlpha_U,A,1.00000E+00, unitless, unitless,Urban, urban factor limiting ground evap
TBUILD,A,1.00000E+00, K, K,Urban, internal urban building temperature
TG_U,A,1.00000E+00, K, K,Urban, urban ground temperature
TREFMNAV_U,A,1.00000E+00, K, K,Urban, urban daily minimum of average 2-m temperature
TREFMXAV_U,A,1.00000E+00, K, K,Urban, urban daily maximum of average 2-m temperature
TSA_U,A,1.00000E+00, K, K,Urban, urban 2m air temperature
URBAN_AC,A,1.00000E+00, W/m^2, W/m^2,Urban, urban air conditioning flux
URBAN_HEAT,A,1.00000E+00, W/m^2, W/m^2,Urban, urban heating flux
WASTEHEAT,A,1.00000E+00, W/m^2, W/m^2,Urban, sensible heat flux from heating/cooling sources of urban waste heat
FPG_P,A,1.00000E+00, proportion, proportion,Veg State, fraction of potential gpp due to P limitation
FPI_P,A,1.00000E+00, proportion, proportion,Veg State, fraction of potential immobilization of phosphorus
FPG,A,1.00000E+00, proportion, proportion,Veg State, fraction of potential gpp due to N limitation
FPI,A,1.00000E+00, proportion, proportion,Veg State, fraction of potential immobilization of nitrogen
BTRAN,A,1.00000E+00, proportion, proportion,Veg State, transpiration beta factor
ELAI,A,1.00000E+00, m^2/m^2, m^2/m^2,Veg State, exposed one-sided leaf area index
ESAI,A,1.00000E+00, m^2/m^2, m^2/m^2,Veg State, exposed one-sided stem area index
HTOP,A,1.00000E+00, m, m,Veg State, height of canopy top
LAISHA,A,1.00000E+00,m^2/m^2,m^2/m^2,Veg State, shaded projected leaf area index
LAISUN,A,1.00000E+00,m^2/m^2,m^2/m^2,Veg State, sunlit projected leaf area index
TLAI,A,1.00000E+00,m^2/m^2,m^2/m^2,Veg State, total projected leaf area index
TSAI,A,1.00000E+00,m^2/m^2,m^2/m^2,Veg State, total projected stem area index
TAUX,A,1.00000E+00, kg/m/s^2, kg/m/s^2,Winds, zonal surface stress
TAUY,A,1.00000E+00, kg/m/s^2, kg/m/s^2,Winds, meridional surface stress
U10,A,1.00000E+00, m/s, m/s,Winds, 10-m wind
U10WITHGUSTS,A,1.00000E+00, m/s, m/s,Winds, 10-m wind with gustiness enhancement included
WIND,A,1.00000E+00, m/s, m/s,Winds, atmospheric wind velocity magnitude
